fromstn,tostn,fromhgt,tohgt,obstype,obsset,obsdate,value,error,calcval,residual,reserr,stdres
WAW2,WANW,1.595,1.68,ZD,133,2015-03-16 00:00:00,76.142610,0.000728,76.142956,-0.000346,0.000680,0.5085
WAW2,WAS3,1.595,1.597,SD,134,2015-03-16 00:00:00,100.295800,0.000190,100.296039,-0.000239,0.000185,1.2899
WAW2,WAS3,1.595,1.597,ZD,135,2015-03-16 00:00:00,94.422110,0.000728,94.421508,0.000602,0.000692,0.8700
WAW2,WAN3,1.595,1.615,HA,136,2015-03-16 00:00:00,0.001710,0.000980,0.001612,0.000098,0.000798,0.1233
WAW2,WANW,1.595,1.68,HA,136,2015-03-16 00:00:00,146.523360,0.000980,146.523208,0.000152,0.000793,0.1915
WAW2,WAS3,1.595,1.597,HA,136,2015-03-16 00:00:00,354.860610,0.000980,354.860860,-0.000250,0.000796,0.3142
WAW2,WAN3,1.595,1.615,SD,137,2015-03-16 00:00:00,188.364100,0.000190,188.363679,0.000421,0.000184,2.2849
WAW2,WAN3,1.595,1.615,ZD,138,2015-03-16 00:00:00,93.338310,0.000728,93.338767,-0.000457,0.000705,0.6483
WAW2,WANW,1.595,1.68,SD,139,2015-03-16 00:00:00,45.616400,0.000190,45.616600,-0.000200,0.000181,1.1010
WAW2,WANW,1.595,1.68,ZD,140,2015-03-16 00:00:00,76.142670,0.000728,76.142956,-0.000286,0.000680,0.4202
WAW2,WAS3,1.595,1.597,SD,141,2015-03-16 00:00:00,100.295700,0.000190,100.296039,-0.000339,0.000185,1.8296
WAW2,WAS3,1.595,1.597,ZD,142,2015-03-16 00:00:00,94.422220,0.000728,94.421508,0.000712,0.000692,1.0289
WAW2,WAN3,1.595,1.615,HA,143,2015-03-16 00:00:00,0.001820,0.000980,0.001672,0.000148,0.000798,0.1860
WAW2,WANW,1.595,1.68,HA,143,2015-03-16 00:00:00,146.523330,0.000980,146.523268,0.000062,0.000793,0.0780
WAW2,WAS3,1.595,1.597,HA,143,2015-03-16 00:00:00,354.860710,0.000980,354.860920,-0.000210,0.000796,0.2640
WAW2,WAN3,1.595,1.615,SD,144,2015-03-16 00:00:00,188.364000,0.000190,188.363679,0.000321,0.000184,1.7428
WAW2,WAN3,1.595,1.615,ZD,145,2015-03-16 00:00:00,93.337540,0.000728,93.338767,-0.001227,0.000705,1.7408
WAW2,WANW,1.595,1.68,SD,146,2015-03-16 00:00:00,45.616600,0.000190,45.616600,0.000000,0.000181,0.0020
WAW2,WANW,1.595,1.68,ZD,147,2015-03-16 00:00:00,76.142400,0.000728,76.142956,-0.000556,0.000680,0.8175
WAW2,WAS3,1.595,1.597,SD,148,2015-03-16 00:00:00,100.295800,0.000190,100.296039,-0.000239,0.000185,1.2899
WAW2,WAS3,1.595,1.597,ZD,149,2015-03-16 00:00:00,94.421900,0.000728,94.421508,0.000392,0.000692,0.5665
WAW2,WAN3,1.595,1.615,HA,150,2015-03-16 00:00:00,0.001580,0.000980,0.001615,-0.000035,0.000798,0.0438
WAW2,WANW,1.595,1.68,HA,150,2015-03-16 00:00:00,146.523250,0.000980,146.523212,0.000038,0.000793,0.0485
WAW2,WAS3,1.595,1.597,HA,150,2015-03-16 00:00:00,354.860860,0.000980,354.860864,-0.000004,0.000796,0.0044
WANE,WAS3,1.674,1.597,SD,151,2015-03-16 00:00:00,145.717000,0.000190,145.717024,-0.000024,0.000180,0.1345
WANE,WAS3,1.674,1.597,ZD,152,2015-03-16 00:00:00,97.203170,0.000728,97.202759,0.000411,0.000710,0.5790
WANE,WAN3,1.674,1.615,SD,153,2015-03-16 00:00:00,227.685800,0.000190,227.685800,0.000000,0.000180,0.0012
WANE,WAN3,1.674,1.615,ZD,154,2015-03-16 00:00:00,95.420440,0.000728,95.420580,-0.000140,0.000712,0.1960
WANE,WANW,1.674,1.68,SD,155,2015-03-16 00:00:00,22.826500,0.000190,22.826410,0.000090,0.000183,0.4913
WANE,WANW,1.674,1.68,ZD,156,2015-03-16 00:00:00,89.026310,0.000728,89.026012,0.000298,0.000654,0.4557
WANE,WAS3,1.674,1.597,HA,157,2015-03-16 00:00:00,359.998850,0.000980,359.999062,-0.000212,0.000798,0.2657
WANE,WAN3,1.674,1.615,HA,157,2015-03-16 00:00:00,10.808830,0.000980,10.808889,-0.000059,0.000798,0.0738
WANE,WANW,1.674,1.68,HA,157,2015-03-16 00:00:00,284.599540,0.000980,284.599269,0.000271,0.000795,0.3409
WANE,WAS3,1.674,1.597,SD,158,2015-03-16 00:00:00,145.717100,0.000190,145.717024,0.000076,0.000180,0.4210
WANE,WAS3,1.674,1.597,ZD,159,2015-03-16 00:00:00,97.202870,0.000728,97.202759,0.000111,0.000710,0.1565
